State Abbreviation,State FIPS Code,County FIPS Code,FIPS Entity Code,ANSI Code,GU Name,Entity Description
AL,1,0,0,1779775,Alabama,
AL,1,1,48712,2404261,Millbrook,city
AL,1,1,62328,2404568,Prattville,city
AL,1,1,0,161526,Autauga,County
AL,1,1,3220,2405187,Autaugaville,town
AL,1,1,6460,2405265,Billingsley,town
AL,1,3,4660,2403825,Bay Minette,city
AL,1,3,19648,2404186,Daphne,city
AL,1,3,25240,2403590,Fairhope,city
AL,1,3,26992,2403626,Foley,city
AL,1,3,32272,2403770,Gulf Shores,city
AL,1,3,57144,2404439,Orange Beach,city
AL,1,3,65208,2404632,Robertsdale,city
AL,1,3,71976,2405500,Spanish Fort,city
AL,1,3,0,161527,Baldwin,County
AL,1,3,23320,2406430,Elberta,town
AL,1,3,44608,2406055,Loxley,town
AL,1,3,46072,2406080,Magnolia Springs,town
AL,1,3,59088,2560543,Perdido Beach,town
AL,1,3,70536,2407342,Silverhill,town
AL,1,3,73872,2406681,Summerdale,town
AL,1,5,3724,2405200,Bakerhill,town
AL,1,5,7672,2405286,Blue Springs,town
AL,1,5,15376,2406274,Clayton,town
AL,1,5,44344,2406049,Louisville,town
AL,1,5,15640,2404082,Clio,city
AL,1,5,24568,2403575,Eufaula,city
AL,1,5,0,161528,Barbour,County
AL,1,7,78264,2406787,Vance,town
AL,1,7,80928,2406861,West Blocton,town
AL,1,7,83640,2406913,Woodstock,town
AL,1,7,9136,2403918,Brent,city
AL,1,7,13672,2404026,Centreville,city
AL,1,7,0,161529,Bibb,County
AL,1,9,1396,2405136,Allgood,town
AL,1,9,1660,2405146,Altoona,town
AL,1,9,7456,2405280,Blountsville,town
AL,1,9,15472,2406278,Cleveland,town
AL,1,9,17968,2406322,County Line,town
AL,1,9,29032,2406541,Garden City,town
AL,1,9,33640,2405806,Hayden,town
AL,1,9,34480,2405832,Highland Lake,town
AL,1,9,43888,2406036,Locust Fork,town
AL,1,9,53448,2406969,Nectar,town
AL,1,9,66408,2407242,Rosa,town
AL,1,9,71280,2407358,Snead,town
AL,1,9,74160,2406699,Susan Moore,town
AL,1,9,76680,2406747,Trafford,town
AL,1,9,57000,2404433,Oneonta,city
AL,1,9,0,161530,Blount,County
AL,1,11,48424,2406161,Midway,town
AL,1,11,77880,2405629,Union Springs,city
AL,1,11,0,161531,Bullock,County
AL,1,13,29560,2406560,Georgiana,town
AL,1,13,45496,2406134,McKenzie,town
AL,1,13,31912,2403748,Greenville,city
AL,1,13,0,161532,Butler,County
AL,1,15,35152,2405845,Hobson City,town
AL,1,15,56472,2407037,Ohatchee,town
AL,1,15,1852,2403101,Anniston,city
AL,1,15,29992,2403701,Glencoe,city
AL,1,15,38272,2404780,Jacksonville,city
AL,1,15,57576,2404451,Oxford,city
AL,1,15,59640,2404515,Piedmont,city
AL,1,15,71832,2405499,Southside,city
AL,1,15,80352,2405699,Weaver,city
AL,1,15,0,161533,Calhoun,County
AL,1,17,19216,2424934,Cusseta,town
AL,1,17,26200,2406498,Five Points,town
AL,1,17,80256,2406842,Waverly,town
AL,1,17,40672,2404846,La Fayette,city
AL,1,17,41296,2404883,Lanett,city
AL,1,17,78204,2405634,Valley,city
AL,1,17,0,161534,Chambers,County
AL,1,19,12760,2406240,Cedar Bluff,town
AL,1,19,16600,2406296,Collinsville,town
AL,1,19,29296,2406555,Gaylesville,town
AL,1,19,42016,2405999,Leesburg,town
AL,1,19,67920,2407282,Sand Rock,town
AL,1,19,13648,2404025,Centre,city
AL,1,19,59640,2404515,Piedmont,city
AL,1,19,0,161535,Cherokee,County
AL,1,21,46504,2406093,Maplesville,town
AL,1,21,76080,2406731,Thorsby,town
AL,1,21,11416,2403965,Calera,city
AL,1,21,15136,2404052,Clanton,city
AL,1,21,38608,2404801,Jemison,city
AL,1,21,0,161536,Chilton,County
AL,1,23,11032,2405351,Butler,town
AL,1,23,29704,2406569,Gilbertown,town
AL,1,23,43384,2406024,Lisman,town
AL,1,23,53472,2406970,Needham,town
AL,1,23,58968,2407098,Pennington,town
AL,1,23,70416,2407336,Silas,town
AL,1,23,76632,2406745,Toxey,town
AL,1,23,0,161537,Choctaw,County
AL,1,25,16264,2406289,Coffeeville,town
AL,1,25,28504,2406530,Fulton,town
AL,1,25,32080,2406623,Grove Hill,town
AL,1,25,38152,2404775,Jackson,city
AL,1,25,75960,2405583,Thomasville,city
AL,1,25,0,161538,Clarke,County
AL,1,27,2860,2405173,Ashland,town
AL,1,27,43264,2404935,Lineville,city
AL,1,27,0,161539,Clay,County
AL,1,29,23176,2406427,Edwardsville,town
AL,1,29,28432,2406529,Fruithurst,town
AL,1,29,63408,2407173,Ranburne,town
AL,1,29,33976,2404675,Heflin,city
AL,1,29,0,161540,Cleburne,County
AL,1,31,9820,2418693,MaChis Lower Creek,SDTSA
AL,1,31,40096,2405954,Kinston,town
AL,1,31,53856,2406973,New Brockton,town
AL,1,31,23296,2403549,Elba,city
AL,1,31,24184,2403567,Enterprise,city
AL,1,31,0,161541,Coffee,County
AL,1,33,14152,2406262,Cherokee,town
AL,1,33,42160,2406001,Leighton,town
AL,1,33,43648,2406027,Littleville,town
AL,1,33,53016,2404345,Muscle Shoals,city
AL,1,33,69648,2405452,Sheffield,city
AL,1,33,77280,2405616,Tuscumbia,city
AL,1,33,0,161542,Colbert,County
